year,city,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent
2018,ג'ולס,1,60.91,25.75,309,17.1,16.8
2018,ג'לג'וליה,1,64.44,33.13,497,9.0,15.2
2018,גן יבנה,3,77.22,26.74,1150,30.4,14.0
2018,גני תקווה,2,81.01,25.53,434,51.9,16.2
2018,ג'סר א-זרקא,2,24.27,23.75,760,1.8,4.4
2018,ג'ש (גוש חלב),1,76.36,24.86,174,23.5,24.8
2018,ג'ת,1,63.36,28.27,622,21.8,25.3
2018,דאלית אל-כרמל,2,58.33,21.26,489,13.0,13.5
2018,דבורייה,1,51.61,28.95,637,14.2,15.8
2018,דייר אל-אסד,1,59.0,29.50,590,12.0,15.2
2018,דייר חנא,1,81.03,29.59,503,13.4,16.1
2018,דימונה,10,62.73,22.60,1695,10.3,7.7
2018,הוד השרון,6,84.27,28.73,2614,52.2,14.8
2018,הר אדר,-,85.88,-,-,54.9,12.4
2018,הרצלייה,10,79.15,26.62,3301,42.5,18.4
2018,זכרון יעקב,8,75.68,27.31,1502,50.9,12.1
2018,זמר,1,58.91,33.70,674,11.2,14.7
2018,זרזיר,1,46.76,28.44,455,8.3,10.6
2018,חדרה,19,54.48,24.11,3689,20.6,9.5
2018,חולון,22,65.06,26.74,5990,21.5,13.7
2018,חורה,7,36.77,26.77,1713,9.4,10.5
2018,חורפיש,1,80.15,25.21,353,19.7,20.4
2018,חיפה,49,63.72,27.01,11667,32.2,24.6
2018,חצור הגלילית,5,36.88,27.42,850,12.2,8.2
2018,חריש,-,52.38,-,-,29.9,12.2
2018,טבריה,15,42.69,21.53,2498,8.9,7.6
2018,טובא-זנגרייה,1,36.61,28.89,260,5.5,9.7
2018,טורעאן,1,46.18,33.72,607,13.2,15.3
2018,טייבה,4,58.48,33.04,2544,11.9,16.2
2018,טירה,7,51.0,28.44,1422,14.7,16.0
2018,טירת כרמל,3,57.65,25.52,536,14.2,8.2
2018,טמרה,9,45.87,25.67,2233,10.5,14.7
2018,יאנוח-ג'ת,1,56.1,27,324,14.4,12.7
2018,יבנאל,2,46.15,13.36,147,13.8,8.3
2018,יבנה,8,72.12,24.63,1379,26.6,13.4
2018,יהוד,3,71.6,29.18,1780,33.9,13.6
2018,יסוד המעלה,-,72.41,-,-,43.5,7.9
2018,יפיע,4,65.92,26.17,942,10.8,14.9
2018,יקנעם עילית,1,64.32,26.73,802,36.5,9.4
2018,ירוחם,3,53.85,20.86,459,17.9,10.4
2018,ירושלים,343,32.4,27.07,54357,15.0,10.8
2018,ירכא,7,52.47,27.90,1088,11.1,12.5
2018,כאבול,1,60.91,28.41,625,13.5,16.6
2018,כאוכב אבו אל-היג'א,1,78.95,25.78,232,18.8,21.9
2018,כוכב יאיר,-,84.08,-,-,59.4,15.4
2018,כסיפה,4,43.11,26.35,1581,10.1,10.6
2018,כסרא-סמיע,2,58.49,24.50,441,11.5,12.3
2018,כעביה-טבאש-חג'אג'רה,1,54.95,27,351,11.3,13.2
2018,כפר ברא,-,63.44,-,-,13.1,11.2
2018,כפר ורדים,2,75.63,27.33,328,53.2,9.8
2018,כפר יאסיף,1,63.58,29.58,562,19.0,16.0
2018,כפר יונה,1,55.63,31.48,724,33.8,9.1
2018,כפר כמא,-,61.9,-,-,19.8,23.4
2018,כפר כנא,5,46.87,29.58,1538,9.5,14.8
2018,כפר מנדא,3,52.37,27.47,1236,9.5,10.3
2018,כפר סבא,13,75.29,25.43,4221,45.3,14.4
2018,כפר קאסם,4,56.53,26.98,1592,10.7,13.6
